WA*UPL, WAURPL, WAUR/PHEL
KH*EUP, KHEUBG/PAE, KHEUBG/PAOE
WAOURPB, WAO*UPB, WERPB/AOUPB
TPHROT, TPOLT, TPOL/THRU
SKAEUFPL, SKAEFPL, AOE/SKAEUFPL
TKPWRAEGS, TKPWR-GS, TKPWRA*GS
SKELGS, SK-LGS, KAPBGS
KOEB, KO*EB, KOEBS
STAEURPL, ST-RPL, STAEUP/HRER
WAOERLD, KW*EURL, WAOED/KEURL
TPEPBTD, TKEFPBTD, STKEFPBT
STPHEUFRL, STKPERPBLS, TPHEFPBS
KWR*EPBLS, AOU/TEPBLS, W*EPBLS
TKROPL, RA*PBD, RAPB/TKOPL
RED/TAOEU, TAOEU/KWRA, RAO*EU
